model,cv_roc,cv_roc_std,cv_pr,cv_pr_std,cv_acc,test_roc,test_pr,test_acc,temporal_roc,temporal_pr
XGBoost,0.8878015788543652,0.0021459721709629204,0.7971491660350131,0.008499717733997592,0.8227484416173881,0.8899971203446131,0.7940663672116075,0.8291245120688282,0.8808959388891067,0.7530096552672785
LightGBM,0.8857894448474181,0.0024997269398312756,0.7938334013725186,0.01042584944541585,0.8198704800253388,0.8870110136580031,0.789573415767878,0.8232295068907831,0.8817863830692533,0.7527851376519372
RandomForest,0.8804547088061027,0.0022022436969144697,0.7871343826872865,0.01110289013528185,0.8257855368949691,0.8804997132338303,0.7834888786272097,0.8284075519796065,0.8814488768793103,0.7544332407451289
LogisticRegression,0.8518397556811461,0.002676707456680372,0.7295142151206736,0.008926072126286237,0.7973165264664631,0.8528389324259786,0.7319140697815024,0.7999681351071457,0.8644395306099036,0.7035408727424516
